,repo_url,fix_commit,previous_commit,triage_status,reviewer_notes,taxonomy,framework
0,https://github.com/13656677331/newbee-mall,ed8016ef3fffd5e1fd81a84fe6d89889f7b756b9,7f59ead63cc22b95105036952c3f066f7712ae97,false_positive,"Not really sure why this is an XSS, or why it's considered one.

If I were to guess, `MallUser userFromDB` gets rendered somewhere.",E,spring
1,https://github.com/1Lighty/BetterDiscordPlugins,9a26357006f18bbc9e793f8c999ab31f5b4bf19f,11ed917b53ef2c48087190e5ce40739dea27f7b4,false_positive,,E,javascript
2,https://github.com/22hours/DevStudent,3933726d8364e10ebb8c26448485e386dbf73949,06f2df2c7e5c3892ad0e57de48164eaa23bad015,false_positive,,E,react
3,https://github.com/2xlink/DrawPhone,332e29454520a98bb3f6720b722320ddb78a04c0,86341fb3c99aa3c0e4f59dedb0a6d2969cf880dc,false_positive,"Did not detect. This is a reflective XSS simply by retrieving a GET parameter and inserting in with innerHTML.

Look into https://github.com/returntocorp/semgrep-rules/blob/develop/javascript/browser/security/insecure-innerhtml.yaml",E,clientside_javascript
4,https://github.com/ASO1901029/sk2020_5K,43fb1de722790a77eb4286dfcc3dab5b049e4c70,709c4daba0b8ac21c0c1d58b53d6f84ab19bce55,false_positive,This is another instance of JS template strings + injecting into HTML,E,clientside_javascript
5,https://github.com/Aalto-LeTech/CodeClusters,c67185211c58b7bffbb36596d80b5d51d9aeeb85,348957aa1d15d3e3bc73d34231866152ef643270,false_positive,Need to add `dangerouslySetInnerHtml` to `p/xss`. That would detect this,E,react
6,https://github.com/AaronKutch/pbe-participation-tracker,d44453e55d20178019506c6844c6580bc4dd7cea,8ba07f36bf9c0c5c756fafa6a1825401eef67265,true_positive,Use of `raw` in ERB file,A,rails
7,https://github.com/Adowrath/sdent-combat-systems,b6cc6b4916d594ac9f5aeed34d4c4c93dafc1a12,d213fac34cb495aa7f91715462f9f090c7e32f13,false_positive,postMessage XSS. Would detect with `javascript.browser.security.insufficient-postmessage-origin-validation.insufficient-postmessage-origin-validation`,E,clientside_javascript
8,https://github.com/Alex1100/github-readme-stats,0833e8531d0445dd461956b805e69a36d183f021,3c7220e4f7144f6cb068fd433c774f6db47ccb95,false_positive,Not detected. Need that HTML + template string rule.,E,javascript
9,https://github.com/Amarpal-kaur/handlebars.js,b291a1ad8c9a33f834d126450635f0b6ca546a0c,038d9b3feed51bc12db95af0e0ef8b69776b42c9,false_positive,"Looks like a copy of the Handlebars framework, the predecessor to Mustache. Seems like this is the escape function for the library.

Could detect with a rule that looks for replacing < and >, which is a common but incomplete attempt at sanitizing XSS.",E,javascript
10,https://github.com/Amsterdam/fixxx-schuldhulp,25c938ddef1fd88ad8124d8a02ec15eb857e77e4,9d24eaebeecb53cb3ab325c71ebc841fa39166de,false_positive,innerHTML XSS again.,E,clientside_javascript
11,https://github.com/Atlasfreak/Django-Website,f7e687fbea72ac30a00a67c31b36b9fbeae744ed,3f4c9ccfe6a103e53b487b8edeb964bb35db80a3,false_positive,"INVESTIGATE FURTHER This is another Django Forms issue, similar to a previous one.

I'm not sure if there's some vulnerability here we're unaware of; need to investigate.",E,django
12,https://github.com/B3Partners/tailormap,1bbecac22181eb86aaa1fd952d8761c2d627d312,49a1748a53a9047568c2690624fad8229c899a4b,true_positive,"Weird - issue was actually in `error.jsp`, but Semgrep did not run on it.

Manual testing shows that Semgrep correctly detects the issue:

```
➜  tailormap git:(master) semgrep -f p/xss viewer/src/main/webapp/error.jsp
A new version of Semgrep is available. Please see https://github.com/returntocorp/semgrep#upgrading for more information.
using config from https://semgrep.dev/p/xss. Visit https://semgrep.dev/registry to see all public rules.
downloading config...
running 61 rules...
100%|█████████████████████████████████████████████████████████████████████|61/61
viewer/src/main/webapp/error.jsp
severity:warning rule:java.lang.security.audit.xss.jsp.no-scriptlets.no-scriptlets: JSP scriptlet detected. Scriptlets are difficult to use securely and
are considered bad practice. See https://stackoverflow.com/a/3180202.
Instead, consider migrating to JSF or using the Expression Language
'${...}' with the escapeXml function in your JSP files.

1:<%--
--------------------------------------------------------------------------------
25:<%=response.getStatus()%></title>
--------------------------------------------------------------------------------
30:<%=response.getStatus()%></p>
ran 61 rules on 1 files: 3 findings
22 files could not be analyzed; run with --verbose for details or run with --strict to exit non-zero if any file cannot be analyzed
```",B,java_and_jsp
13,https://github.com/BarreraR/gainz-api,1f040d15c99fd64504cbe6025f56519ac65a72ed,880db49663b9d8138e162385f5c0458102d29c98,false_positive,,E,express
14,https://github.com/Bolawa09/Bola,0edb5437250e2a14263b730016665d7f1ee0ac39,bda65fc1362ac0b5057a8805277fb2d30176fef2,true_positive,"Manual testing detects HTML concatenation:

```
public/js/chat.js
severity:warning rule:javascript.browser.security.raw-html-concat.raw-html-concat: User controlled data in a HTML string may result in XSS
726:  $("".chat-messages"").append(
727:    '<div class=""message-item moderator cssanimation fadeInBottom""><div class=""message-bloc""><div class=""message"">' +
728:      msg.autoLink() +
729:      ""</div></div></div>""
730:  );
```",B,clientside_javascript
15,https://github.com/Boris-Michiels/web3-project-Boris-Michiels,0db76570671dc4853009f0b5689b691ee063a83a,63db18788f48d9b9a33cda223276227ce0808297,true_positive, Preventative. Adds `c:out` to JSP pages. This is good; we look for `escapeXml` instead. We also detect all these cases.,B,java_and_jsp
16,https://github.com/BurningAlpha/App-Sec-Project,df44239e9a7ba702c455d48d16df913e13fbb190,e8f6312c3ddd13fec1d8239d0bb82a620d1816e2,true_positive,"Detected XSS in search.html.

Did not detect innerHTML in product.html.",A,flask
17,https://github.com/CodeWe-projet/CodeWe,2111dffdea84bf74f642eeae915bafa8c4fb68ee,b6f40df80fbd7fdc080a4d32888c1852680dbc43,false_positive,"innerHTML, which we do not detect",E,clientside_javascript
18,https://github.com/ColorlibHQ/AdminLTE,903143a1e1c02b94ec1194b7cec65675755c14a9,d114eabfe6189892e0b33dc76d36b6b39ff37b29,false_positive,"JQuery .html() method, not currently detected",E,clientside_javascript_embedded_in_html
19,https://github.com/ColorlibHQ/AdminLTE,b0f9c48ea506276b8db561957135bc4546b34928,8974feb54ce0556817f28dade649d8d5318308c1,false_positive,"Might get detected by Jquery rule? In either case, we do not detect this",E,clientside_javascript_embedded_in_html
20,https://github.com/CxTyler/JVL,99c79b8d05fa45d7975b2684186ec7a919c3fedd,b510bc56385177857fa37795ea558da5e49ef5b6,true_positive,Detected; this is an intentionally vulnerable app.,B,java_and_jsp
21,https://github.com/DCaliari/PowerSet_Choice,88c23b3dbb05e446b5d63929d5ab6a6a0d66309c,1e7455ffb2a7ac302e4cbec4e24f47402e03fd5d,true_positive,Detected var in script tag.,B,django
